"","OLE_CATEGORY","STATEMENT_TYPE","TOTAL_STATEMENTS","N_STATEMENTS_YOY_CHG","TOTAL_OCCURRRENCES","N_INCIDENTS_YOY_CHG","OCCURRENCES_PER_VESSEL_PLANT_ASSIGNMENT","INCI_RATE_ASSMT_YOY_CHG","OCCURRRENCES_PER_1000_DAYS","INCI_RATE_1000_YOY_CHG","PROPORT_FACTOR_GRPS_WITH_INCIS","PROPORT_WITH_INCIS_YOY_CHG","MEAN_INCIS_PER","MEDIAN_INCIS_PER","MIN_INCIS_PER","MAX_INCIS_PER","QUANT_25_INCIS_PER","QUANT_75_INCIS_PER"
"1","ALL OTHER STATEMENT TYPES","Contractor Problems",2,-0.866666666666667,2,-0.888888888888889,0.0017286084701815,-0.887352348026505,0.0610370189519944,-0.889882435919607,0.0909090909090909,-0.194805194805195,1,1,1,1,1,1
"2","ALL OTHER STATEMENT TYPES","Failure to Notify",21,-0.588235294117647,53,-0.716577540106952,0.0458081244598099,-0.712658128388465,1.61748100222785,-0.719111881998143,0.424242424242424,-0.147186147186147,2.52380952380952,1,1,11,1,3
"3","ALL OTHER STATEMENT TYPES","Inadequate Accomodations",16,-0.384615384615385,73,-0.63681592039801,0.0630942091616249,-0.631793495788129,2.2278511917478,-0.640063484573045,0.363636363636364,-0.0649350649350649,4.5625,1,1,54,1,1
"4","ALL OTHER STATEMENT TYPES","IR/IU",8,0.142857142857143,23,-0.858895705521472,0.0198789974070873,-0.856944392892556,0.701925717947935,-0.860157449296679,0.181818181818182,-0.0467532467532467,2.875,2.5,1,9,1,3
"5","ALL OTHER STATEMENT TYPES","Miscellaneous Violations",8,0,8,-0.333333333333333,0.00691443388072602,-0.324114088159032,0.244148075807978,-0.339294615517645,0.181818181818182,-0.103896103896104,1,1,1,1,1,1
"6","ALL OTHER STATEMENT TYPES","Reasonable Assistance",18,-0.419354838709677,149,0.0955882352941176,0.128781331028522,0.110738980121003,4.54725791192358,0.0857915693515177,0.393939393939394,-0.0917748917748918,8.27777777777778,1,1,100,1,1.75
"7","ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",57,-0.481818181818182,319,-0.71,0.27571305099395,-0.705989628349179,9.7354045228431,-0.712593157750176,0.606060606060606,-0.222510822510823,5.59649122807018,1,1,50,1,5
"8","ALL OTHER STATEMENT TYPES","Restricted Access",3,-0.25,5,-0.8,0.00432152117545376,-0.79723422644771,0.152592547379986,-0.801788384655293,0.0909090909090909,-0.0233766233766234,1.66666666666667,1,1,3,1,2
"9","COAST GUARD","MARPOL/Oil Spill",20,-0.565217391304348,74,-0.54320987654321,0.0639585133967156,-0.536892986331189,2.25836970122379,-0.547294458780608,0.454545454545455,-0.174025974025974,3.7,2,1,20,1,4
"10","COAST GUARD","Safety-USCG-Equipment",12,0.333333333333333,14,0.0769230769230769,0.0121002592912705,0.0918157037431022,0.427259132663961,0.067293313394574,0.272727272727273,-0.0415584415584416,1.16666666666667,1,1,2,1,1
