"","OLE_CATEGORY","AFFIDAVIT_TYPE","NUM_CATEGS_WITH_0_INCIDS"
"1","ALL OTHER STATEMENT TYPES","Contractor Problems",24
"2","ALL OTHER STATEMENT TYPES","Failure to Notify",16
"3","ALL OTHER STATEMENT TYPES","Inadequate Accomodations",27
"4","ALL OTHER STATEMENT TYPES","IR/IU",26
"5","ALL OTHER STATEMENT TYPES","Miscellaneous Violations",25
"6","ALL OTHER STATEMENT TYPES","Reasonable Assistance",16
"7","ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",7
"8","ALL OTHER STATEMENT TYPES","Restricted Access",28
"9","COAST GUARD","MARPOL/Oil Spill",19
"10","COAST GUARD","Safety-USCG-Equipment",31
"11","COAST GUARD","Safety-USCG-Fail to Conduct Drills",17
"12","COAST GUARD","Safety-USCG-Marine Casualty",8
"13","LIMITED ACCESS PROGRAMS","AFA",30
"14","LIMITED ACCESS PROGRAMS","Amendment 80",28
"15","LIMITED ACCESS PROGRAMS","Catcher Processer Longline",32
"16","LIMITED ACCESS PROGRAMS","IFQ Retention",26
"17","OLE PRIORITY: INTER-PERSONAL","Disruptive/Bothersome Behavior - Conflict Resolved",17
"18","OLE PRIORITY: INTER-PERSONAL","Harassment-Assault",31
"19","OLE PRIORITY: INTER-PERSONAL","Harassment - Sexual",24
"20","OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",17
"21","OLE PRIORITY: SAFETY AND DUTIES","Interference/Sample Biasing",19
"22","OLE PRIORITY: SAFETY AND DUTIES","Safety-NMFS",16
"23","PROTECTED RESOURCE & PROHIBITED SPECIES","Amendment 91 salmon",28
"24","PROTECTED RESOURCE & PROHIBITED SPECIES","Gulf of Alaska Salmon",28
"25","PROTECTED RESOURCE & PROHIBITED SPECIES","Halibut Deck Sorting",28
"26","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Feeding",27
"27","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Harassment",32
"28","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",18
"29","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Retaining",31
"30","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Avoidance Measures",33
"31","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Harassment",33
