"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"1",2019,"FULL","CP/MS","HAL","CDQ","BSAI",3.24017396630439,0.743470606735897,0.942641126554229,0.0955526719358264,0.0183611016661,0.130057803468208,519,30,27,30,9.9082854007715,29.8151502954328,"FULLCP/MSHALCDQBSAI"
"2",2019,"FULL","CP/MS","HAL","IFQ","BSAI",NA,NA,NA,NA,NA,NA,49,3,3,3,0,0,"FULLCP/MSHALIFQBSAI"
"3",2019,"FULL","CP/MS","HAL","IFQ","GOA",2.05902444672334,1.07986536107711,NA,0.319767441860465,NA,0.346480201131364,172,4,4,4,5.22140034771614,7.27204046151415,"FULLCP/MSHALIFQGOA"
"4",2019,"FULL","CP/MS","HAL","OA","BSAI",11.5850657145037,1.02127368696482,0.409576472509503,0.205956772101723,0.207134354090555,1.14280190867769,4299,99,76,103,89.2093720928958,696.046738879308,"FULLCP/MSHALOABSAI"
"5",2019,"FULL","CP/MS","HAL","OA","GOA",NA,3.79332842260339,NA,NA,NA,NA,68,4,4,4,1.66094215861658,2.86607036374478,"FULLCP/MSHALOAGOA"
"6",2019,"FULL","CP/MS","NPT","A80","BSAI",1.69133176576452,1.87769742393697,4.2581382700094,1.2036731766195,1.86200335963682,1.29127480680211,10460,218,163,232,296.893179336122,1416.06536307741,"FULLCP/MSNPTA80BSAI"
"7",2019,"FULL","CP/MS","NPT","CDQ","BSAI",0.680006709319475,1.06843910032805,6.05467833124192,0.655230657688377,0.95921047308137,1.03935864710424,2186,102,87,102,43.317212985425,253.987063182409,"FULLCP/MSNPTCDQBSAI"
"8",2019,"FULL","CP/MS","NPT","OA","BSAI",0.819711099675506,1.51544063486248,5.49647821847343,0.352248387653861,0.500502380842624,1.04533130632295,2211,90,80,90,53.3404773690815,239.026592150378,"FULLCP/MSNPTOABSAI"
"9",2019,"FULL","CP/MS","NPT","OA","GOA",2.75602238963344,1.37137443086605,0.545092052575851,2.25178790169674,0.113065326633166,NA,796,30,30,31,16.647801074411,62.2413812524286,"FULLCP/MSNPTOAGOA"
"10",2019,"FULL","CP/MS","NPT","RPP","GOA",0.129496402877698,2.80587355361613,0.705808722959861,0.201438848920863,NA,NA,278,11,11,11,6.89002388972798,11.8694185876458,"FULLCP/MSNPTRPPGOA"
"11",2019,"FULL","CP/MS","POT","CDQ","BSAI",0.879604650022073,2.76794035414725,0.272048364153627,0.880156472261736,NA,NA,148,6,6,6,5.44555353901996,7.8929219600726,"FULLCP/MSPOTCDQBSAI"
"12",2019,"FULL","CP/MS","POT","OA","BSAI",0.608108108108108,0.608108108108108,0.608108108108108,NA,NA,NA,148,10,10,10,3,3,"FULLCP/MSPOTOABSAI"
"13",2019,"FULL","CP/MS","PTR","AFA","BSAI",3.54217293223561,2.52375867865757,21.0064980472247,0.706260093200751,0.435294349827725,6.11613248234687,4850,108,97,113,159.195345937098,1850.01183811047,"FULLCP/MSPTRAFABSAI"
"14",2019,"FULL","CP/MS","PTR","CDQ","BSAI",3.46992089636,1.91046858215808,2.01801640301294,0.356280887801571,0.183351284723986,0.822722324212889,1248,66,61,67,29.4001596808794,121.482543912003,"FULLCP/MSPTRCDQBSAI"
"15",2019,"FULL","CV","NPT","OA","BSAI",5.2595276823213,2.83796365399746,NA,1.52143460254915,NA,1.88652745931485,385,22,20,22,11.9419614555216,49.217772870004,"FULLCVNPTOABSAI"
"16",2019,"FULL","CV","NPT","RPP","GOA",10.7746135883338,0.895782163950372,0.267686424474187,0.182673922635682,4.25898766625344,1.25888283350886,523,37,36,52,32.5397854986137,102.500019015097,"FULLCVNPTRPPGOA"
"17",2019,"FULL","CV","PTR","AFA","BSAI",4.96377553932538,0.892084481677843,0.18954018954019,0.317513295841469,0.17998217998218,0.641592012187175,8547,234,189,281,204.13189062308,682.286848439367,"FULLCVPTRAFABSAI"
