"","OLE_CATEGORY","AFFIDAVIT_TYPE","N_STATEMENTS","N_INCIDENTS","MEAN_INCIS_PER","MEDIAN_INCIS_PER","MIN_INCIS_PER","MAX_INCIS_PER","QUANT_25_INCIS_PER","QUANT_75_INCIS_PER","STDEV_INCIS_PER"
"1","ALL OTHER STATEMENT TYPES","Contractor Problems",25,38,1.52,1,1,4,1,2,0.871779788708135
"2","ALL OTHER STATEMENT TYPES","Failure to Notify",26,309,11.8846153846154,2,1,100,1,7.5,24.4905319224829
"3","ALL OTHER STATEMENT TYPES","Inadequate Accomodations",18,71,3.94444444444444,1,1,40,1,1,9.42757047002674
"4","ALL OTHER STATEMENT TYPES","IR/IU",8,66,8.25,7,1,23,1.75,11.25,7.8512965262342
"5","ALL OTHER STATEMENT TYPES","Miscellaneous Violations",12,30,2.5,1,1,10,1,1,3.50324524872685
"6","ALL OTHER STATEMENT TYPES","Reasonable Assistance",25,184,7.36,1,1,70,1,5,15.2503551871205
"7","ALL OTHER STATEMENT TYPES","Record Keeping and Reporting",89,792,8.89887640449438,2,1,102,1,5,18.9401239219212
"8","ALL OTHER STATEMENT TYPES","Restricted Access",8,71,8.875,4,1,30,1,12.5,10.736286934637
"9","COAST GUARD","MARPOL/Oil Spill",37,107,2.89189189189189,1,1,39,1,2,6.36301720789658
"10","COAST GUARD","Safety-USCG-Equipment",7,7,1,1,1,1,1,1,0
"11","COAST GUARD","Safety-USCG-Fail to Conduct Drills",37,61,1.64864864864865,1,1,5,1,2,1.03323161370893
"12","COAST GUARD","Safety-USCG-Marine Casualty",125,208,1.664,1,1,6,1,2,1.02346659494472
"13","LIMITED ACCESS PROGRAMS","AFA",23,50,2.17391304347826,1,1,10,1,2,2.58759582893331
"14","LIMITED ACCESS PROGRAMS","Amendment 80",53,219,4.13207547169811,1,1,60,1,2,9.33775985293676
"15","LIMITED ACCESS PROGRAMS","Catcher Processer Longline",2,25,12.5,12.5,2,23,7.25,17.75,14.8492424049175
"16","LIMITED ACCESS PROGRAMS","IFQ Retention",24,160,6.66666666666667,1,1,48,1,5.25,11.4499541167361
"17","LIMITED ACCESS PROGRAMS","Rockfish Program",1,1,1,1,1,1,1,1,NA
"18","OLE PRIORITY: INTER-PERSONAL","Disruptive/Bothersome Behavior - Conflict Resolved",31,78,2.51612903225806,1,1,20,1,1.5,4.20214998734327
"19","OLE PRIORITY: INTER-PERSONAL","Harassment - Sexual",18,55,3.05555555555556,1,1,30,1,2,6.76037087585326
"20","OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",36,86,2.38888888888889,2,0,10,1,3,2.18145138811988
"21","OLE PRIORITY: SAFETY AND DUTIES","Interference/Sample Biasing",20,100,5,1,0,58,1,3.25,12.6282890452557
"22","OLE PRIORITY: SAFETY AND DUTIES","Safety-NMFS",63,255,4.04761904761905,1,0,60,1,3,9.14652864069835
"23","PROTECTED RESOURCE & PROHIBITED SPECIES","Amendment 91 salmon",34,191,5.61764705882353,2,1,100,1,3,17.0383074737084
"24","PROTECTED RESOURCE & PROHIBITED SPECIES","Gulf of Alaska Salmon",22,137,6.22727272727273,1,1,50,1,2,12.6977006474244
"25","PROTECTED RESOURCE & PROHIBITED SPECIES","Halibut Deck Sorting",15,58,3.86666666666667,2,1,15,1,3,4.77892197447241
"26","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Feeding",20,691,34.55,18,1,400,1,25,87.0979333853565
"27","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Harassment",3,5,1.66666666666667,2,1,2,1.5,2,0.577350269189626
"28","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",27,147,5.44444444444444,1,1,50,1,3.5,11.6299789447965
"29","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Retaining",3,14,4.66666666666667,1,1,12,1,6.5,6.35085296108588
"30","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Marine Mammals",1,1,1,1,1,1,1,1,NA
"31","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Avoidance Measures",2,30,15,15,10,20,12.5,17.5,7.07106781186548
"32","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Harassment",3,4,1.33333333333333,1,1,2,1,1.5,0.577350269189626
