CALENDAR YEAR,COVERAGE TYPE,VESSEL TYPE,GEAR TYPE,MANAGEMENT PROGRAM CODE,NMFS REGION,TOTAL DAYS,TOTAL CRUISES,TOTAL OBSERVERS,DISTINCT OBSERVER ASSIGNMENTS,FACTOR GROUP
2020,FULL,CP/MS,HAL,CDQ,BSAI,516,26,22,26,FULLCP/MSHALCDQBSAI
2020,FULL,CP/MS,HAL,IFQ,GOA,89,3,3,3,FULLCP/MSHALIFQGOA
2020,FULL,CP/MS,HAL,OA,BSAI,3579,71,54,73,FULLCP/MSHALOABSAI
2020,FULL,CP/MS,NPT,A80,BSAI,9909,165,136,167,FULLCP/MSNPTA80BSAI
2020,FULL,CP/MS,NPT,CDQ,BSAI,1641,75,70,75,FULLCP/MSNPTCDQBSAI
2020,FULL,CP/MS,NPT,OA,BSAI,1727,67,63,67,FULLCP/MSNPTOABSAI
2020,FULL,CP/MS,NPT,OA,GOA,635,26,25,26,FULLCP/MSNPTOAGOA
2020,FULL,CP/MS,NPT,RPP,GOA,300,11,11,11,FULLCP/MSNPTRPPGOA
2020,FULL,CP/MS,POT,CDQ,BSAI,179,7,7,7,FULLCP/MSPOTCDQBSAI
2020,FULL,CP/MS,POT,OA,BSAI,156,12,12,12,FULLCP/MSPOTOABSAI
2020,FULL,CP/MS,PTR,A80,BSAI,28,5,5,5,FULLCP/MSPTRA80BSAI
2020,FULL,CP/MS,PTR,AFA,BSAI,5685,91,74,94,FULLCP/MSPTRAFABSAI
2020,FULL,CP/MS,PTR,CDQ,BSAI,1373,56,50,56,FULLCP/MSPTRCDQBSAI
2020,FULL,CP/MS,PTR,RPP,GOA,41,4,4,4,FULLCP/MSPTRRPPGOA
2020,FULL,CV,NPT,OA,BSAI,530,31,31,33,FULLCVNPTOABSAI
2020,FULL,CV,NPT,RPP,GOA,350,32,30,40,FULLCVNPTRPPGOA
2020,FULL,CV,PTR,AFA,BSAI,9103,163,146,189,FULLCVPTRAFABSAI
2020,FULL,CV,PTR,RPP,GOA,380,36,31,47,FULLCVPTRRPPGOA
2020,FULL,PLANT, ,AFA,BSAI,4591,66,56,67,FULLPLANT AFABSAI
