OLE CATEGORY,AFFIDAVIT TYPE,N STATEMENTS,N INCIDENTS,MEAN INCIS PER,MEDIAN INCIS PER,MIN INCIS PER,MAX INCIS PER,QUANT 25 INCIS PER,QUANT 75 INCIS PER,STDEV INCIS PER
ALL OTHER STATEMENT TYPES,Contractor Problems,14,25,1.785714286,1,1,5,1,2,1.251372872
ALL OTHER STATEMENT TYPES,Failure to Notify,38,255,6.710526316,2,1,74,1,4,14.91581402
ALL OTHER STATEMENT TYPES,Inadequate Accomodations,17,58,3.411764706,1,1,19,1,2,5.292197364
ALL OTHER STATEMENT TYPES,IR/IU,5,17,3.4,2,1,10,1,3,3.78153408
ALL OTHER STATEMENT TYPES,Miscellaneous Violations,9,9,1,1,1,1,1,1,0
ALL OTHER STATEMENT TYPES,Reasonable Assistance,27,174,6.444444444,2,1,61,1,4.5,12.26732161
ALL OTHER STATEMENT TYPES,Record Keeping and Reporting,91,769,8.450549451,2,1,100,1,4,18.4175422
ALL OTHER STATEMENT TYPES,Restricted Access,7,84,12,3,1,42,1,18,16.85229955
COAST GUARD,MARPOL/Oil Spill,39,70,1.794871795,1,1,10,1,2,1.779702624
COAST GUARD,Safety-USCG-Equipment,3,3,1,1,1,1,1,1,0
COAST GUARD,Safety-USCG-Fail to Conduct Drills,78,186,2.384615385,1,1,21,1,2,2.838651451
COAST GUARD,Safety-USCG-Marine Casualty,134,206,1.537313433,1,1,6,1,2,0.93113817
LIMITED ACCESS PROGRAMS,AFA,15,76,5.066666667,1,1,50,1,3,12.48122399
LIMITED ACCESS PROGRAMS,Amendment 80,46,215,4.673913043,2,1,98,1,3,14.27827308
LIMITED ACCESS PROGRAMS,Catcher Processer Longline,11,96,8.727272727,3,1,38,1.5,9,12.16627231
LIMITED ACCESS PROGRAMS,IFQ Retention,7,61,8.714285714,4,1,27,1,13.5,10.3394759
OLE PRIORITY: INTER-PERSONAL,Disruptive/Bothersome Behavior - Conflict Resolved,39,76,1.948717949,1,1,14,1,2,2.187869884
OLE PRIORITY: INTER-PERSONAL,Harassment-Assault,4,4,1,1,1,1,1,1,0
OLE PRIORITY: INTER-PERSONAL,Harassment - Sexual,12,22,1.833333333,1,1,5,1,2.25,1.403458931
OLE PRIORITY: INTER-PERSONAL,"Intimidation, coercion, hostile work environment",45,179,3.977777778,2,1,27,1,4,5.002221729
OLE PRIORITY: SAFETY AND DUTIES,Interference/Sample Biasing,28,108,3.857142857,1.5,1,21,1,5,5.331348837
OLE PRIORITY: SAFETY AND DUTIES,Safety-NMFS,44,264,6,1,1,50,1,3,10.99259793
PROTECTED RESOURCE & PROHIBITED SPECIES,Amendment 91 salmon,48,138,2.875,1,1,21,1,3,3.79599453
PROTECTED RESOURCE & PROHIBITED SPECIES,Gulf of Alaska Salmon,21,167,7.952380952,2,1,50,1,3,15.08799586
PROTECTED RESOURCE & PROHIBITED SPECIES,Halibut Deck Sorting,18,45,2.5,2,1,9,1,3,2.121320344
PROTECTED RESOURCE & PROHIBITED SPECIES,Marine Mammal-Feeding,19,283,14.89473684,7,1,59,2.5,22,16.15169319
PROTECTED RESOURCE & PROHIBITED SPECIES,Marine Mammal-Harassment,2,3,1.5,1.5,1,2,1.25,1.75,0.707106781
PROTECTED RESOURCE & PROHIBITED SPECIES,Prohibited Species - Mishandling,37,149,4.027027027,2,1,17,1,4,4.46894523
PROTECTED RESOURCE & PROHIBITED SPECIES,Prohibited Species - Retaining,5,112,22.4,30,1,50,1,30,21.17309614
PROTECTED RESOURCE & PROHIBITED SPECIES,Seabird-Avoidance Measures,1,15,15,15,15,15,15,15,NA
PROTECTED RESOURCE & PROHIBITED SPECIES,Seabird-Harassment,2,3,1.5,1.5,1,2,1.25,1.75,0.707106781
