"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","FACTOR_GROUP"
"1",2020,"FULL","CP/MS","HAL","CDQ","BSAI",516,26,22,26,"FULLCP/MSHALCDQBSAI"
"2",2020,"FULL","CP/MS","HAL","IFQ","BSAI",9,2,2,2,"FULLCP/MSHALIFQBSAI"
"3",2020,"FULL","CP/MS","HAL","IFQ","GOA",89,3,3,3,"FULLCP/MSHALIFQGOA"
"4",2020,"FULL","CP/MS","HAL","OA","BSAI",3579,71,54,73,"FULLCP/MSHALOABSAI"
"5",2020,"FULL","CP/MS","NPT","A80","BSAI",9909,165,136,167,"FULLCP/MSNPTA80BSAI"
"6",2020,"FULL","CP/MS","NPT","CDQ","BSAI",1641,75,70,75,"FULLCP/MSNPTCDQBSAI"
"7",2020,"FULL","CP/MS","NPT","OA","BSAI",1727,67,63,67,"FULLCP/MSNPTOABSAI"
"8",2020,"FULL","CP/MS","NPT","OA","GOA",635,26,25,26,"FULLCP/MSNPTOAGOA"
"9",2020,"FULL","CP/MS","NPT","RPP","GOA",300,11,11,11,"FULLCP/MSNPTRPPGOA"
"10",2020,"FULL","CP/MS","POT","CDQ","BSAI",179,7,7,7,"FULLCP/MSPOTCDQBSAI"
"11",2020,"FULL","CP/MS","POT","IFQ","BSAI",26,2,2,2,"FULLCP/MSPOTIFQBSAI"
"12",2020,"FULL","CP/MS","POT","IFQ","GOA",49,1,1,1,"FULLCP/MSPOTIFQGOA"
"13",2020,"FULL","CP/MS","POT","OA","BSAI",156,12,12,12,"FULLCP/MSPOTOABSAI"
"14",2020,"FULL","CP/MS","PTR","A80","BSAI",28,5,5,5,"FULLCP/MSPTRA80BSAI"
"15",2020,"FULL","CP/MS","PTR","AFA","BSAI",5685,91,74,94,"FULLCP/MSPTRAFABSAI"
"16",2020,"FULL","CP/MS","PTR","CDQ","BSAI",1373,56,50,56,"FULLCP/MSPTRCDQBSAI"
"17",2020,"FULL","CP/MS","PTR","RPP","GOA",41,4,4,4,"FULLCP/MSPTRRPPGOA"
"18",2020,"FULL","CV","HAL","IFQ","BSAI",23,1,1,1,"FULLCVHALIFQBSAI"
"19",2020,"FULL","CV","NPT","OA","BSAI",530,31,31,33,"FULLCVNPTOABSAI"
"20",2020,"FULL","CV","NPT","OA","GOA",2,1,1,1,"FULLCVNPTOAGOA"
"21",2020,"FULL","CV","NPT","RPP","GOA",350,32,30,40,"FULLCVNPTRPPGOA"
"22",2020,"FULL","CV","PTR","AFA","BSAI",9103,163,146,189,"FULLCVPTRAFABSAI"
"23",2020,"FULL","CV","PTR","OA","BSAI",19,1,1,1,"FULLCVPTROABSAI"
"24",2020,"FULL","CV","PTR","RPP","GOA",380,36,31,47,"FULLCVPTRRPPGOA"
"25",2020,"FULL","PLANT"," ","AFA","BSAI",4591,66,56,67,"FULLPLANT AFABSAI"
"26",2020,"FULL","PLANT"," ","OA","BSAI",118,10,10,10,"FULLPLANT OABSAI"
"27",2020,"FULL","PLANT"," ","OA","GOA",850,41,39,43,"FULLPLANT OAGOA"
"28",2020,"PARTIAL","CV","HAL","CDQ","BSAI",26,3,3,4,"PARTIALCVHALCDQBSAI"
"29",2020,"PARTIAL","CV","HAL","IFQ","BSAI",49,4,4,6,"PARTIALCVHALIFQBSAI"
"30",2020,"PARTIAL","CV","HAL","IFQ","GOA",451,34,28,72,"PARTIALCVHALIFQGOA"
"31",2020,"PARTIAL","CV","NPT","OA","BSAI",78,13,13,16,"PARTIALCVNPTOABSAI"
"32",2020,"PARTIAL","CV","NPT","OA","GOA",163,24,21,41,"PARTIALCVNPTOAGOA"
"33",2020,"PARTIAL","CV","NPT","RPP","GOA",1,1,1,1,"PARTIALCVNPTRPPGOA"
"34",2020,"PARTIAL","CV","POT","CDQ","BSAI",14,2,2,2,"PARTIALCVPOTCDQBSAI"
"35",2020,"PARTIAL","CV","POT","IFQ","BSAI",44,4,4,5,"PARTIALCVPOTIFQBSAI"
"36",2020,"PARTIAL","CV","POT","IFQ","GOA",168,18,17,24,"PARTIALCVPOTIFQGOA"
"37",2020,"PARTIAL","CV","POT","OA","BSAI",126,16,15,22,"PARTIALCVPOTOABSAI"
"38",2020,"PARTIAL","CV","POT","OA","GOA",8,2,2,2,"PARTIALCVPOTOAGOA"
"39",2020,"PARTIAL","CV","PTR","OA","GOA",274,27,25,63,"PARTIALCVPTROAGOA"
"40",2020,"PARTIAL","PLANT"," ","OA","GOA",282,5,5,6,"PARTIALPLANT OAGOA"
"41",2021,"FULL","CP/MS","HAL","CDQ","BSAI",486,23,22,23,"FULLCP/MSHALCDQBSAI"
"42",2021,"FULL","CP/MS","HAL","IFQ","BSAI",37,3,3,3,"FULLCP/MSHALIFQBSAI"
"43",2021,"FULL","CP/MS","HAL","IFQ","GOA",49,2,2,2,"FULLCP/MSHALIFQGOA"
"44",2021,"FULL","CP/MS","HAL","OA","BSAI",2777,49,44,51,"FULLCP/MSHALOABSAI"
"45",2021,"FULL","CP/MS","HAL","OA","GOA",86,4,4,4,"FULLCP/MSHALOAGOA"
"46",2021,"FULL","CP/MS","NPT","A80","BSAI",9478,161,132,167,"FULLCP/MSNPTA80BSAI"
"47",2021,"FULL","CP/MS","NPT","CDQ","BSAI",1339,71,65,71,"FULLCP/MSNPTCDQBSAI"
"48",2021,"FULL","CP/MS","NPT","OA","BSAI",1483,54,52,56,"FULLCP/MSNPTOABSAI"
"49",2021,"FULL","CP/MS","NPT","OA","GOA",685,22,22,22,"FULLCP/MSNPTOAGOA"
"50",2021,"FULL","CP/MS","NPT","RPP","GOA",395,16,16,16,"FULLCP/MSNPTRPPGOA"
"51",2021,"FULL","CP/MS","POT","CDQ","BSAI",209,6,6,6,"FULLCP/MSPOTCDQBSAI"
"52",2021,"FULL","CP/MS","POT","IFQ","BSAI",42,2,2,2,"FULLCP/MSPOTIFQBSAI"
