FACTOR,VALUE,OLE PRIORITY: INTER-PERSONAL,OLE PRIORITY: SAFETY AND DUTIES,LIMITED ACCESS PROGRAMS,PROTECTED RESOURCE & PROHIBITED SPECIES,COAST GUARD,ALL OTHER STATEMENT TYPES
ALL DEPLOYED DAYS,ALL DEPLOYED DAYS,0.20,0.30,1.34,0.58,0.43,1.59
COVERAGE_TYPE,FULL,0.32,0.46,2.14,0.78,0.68,2.40
COVERAGE_TYPE,PARTIAL,0.02,0.06,0.14,0.29,0.05,0.38
GEAR_TYPE,HAL,0.03,0.05,0.25,0.43,0.18,1.77
GEAR_TYPE,NPT,0.45,0.67,1.74,0.63,0.78,1.02
GEAR_TYPE,PLANT,0.33,1.31,0.04,0.75,0.04,8.22
GEAR_TYPE,POT,0.05,0.06,0.20,0.08,0.28,0.55
GEAR_TYPE,PTR,0.13,0.13,1.85,0.69,0.42,1.42
MANAGEMENT_PROGRAM,A80,0.77,1.07,3.30,0.68,1.15,1.06
MANAGEMENT_PROGRAM,AFA,0.20,0.11,2.92,1.02,0.64,1.82
MANAGEMENT_PROGRAM,AFA PLANT,0.33,1.31,0.04,0.75,0.04,8.22
MANAGEMENT_PROGRAM,CDQ,0.34,0.38,2.73,0.39,1.00,1.22
MANAGEMENT_PROGRAM,IFQ,0.01,0.04,0.31,0.33,0.06,0.41
MANAGEMENT_PROGRAM,OA,0.19,0.18,0.95,0.41,0.40,1.47
MANAGEMENT_PROGRAM,RPP,0.06,0.39,0.26,0.10,0.37,1.32
NMFS_REGION,AI,0.85,0.74,3.89,0.26,1.13,0.98
NMFS_REGION,BS,0.25,0.31,2.29,0.78,0.69,1.91
NMFS_REGION,GOA,0.12,0.11,0.16,0.27,0.13,0.56
NMFS_REGION,PLANT,0.33,1.31,0.04,0.75,0.04,8.22
OBSERVER_ROLE,LEAD,0.51,1.04,5.06,1.31,1.12,4.13
OBSERVER_ROLE,SECOND,0.76,1.01,4.84,1.27,0.92,1.68
OBSERVER_ROLE,SOLE,0.06,0.09,0.12,0.28,0.19,1.28
VESSEL_TYPE,CP/MS,0.47,0.57,3.88,1.17,1.04,2.12
VESSEL_TYPE,CV,0.05,0.09,0.11,0.26,0.14,0.86
VESSEL_TYPE,PLANT,0.33,1.31,0.04,0.75,0.04,8.22
