"","FACTOR","TOTAL_DAYS","TOTAL_OBSERVERS","TOTAL_CRUISES","TOTAL_VESSELS_PLANTS","TOTAL_CRUISE_PERMIT_COMBINATIONS","VALUE"
"1","ALL DEPLOYED DAYS",13991,253,296,244,563,NA
"2","COVERAGE TYPE",12743,217,240,142,330,"FULL"
"3","COVERAGE TYPE",1248,40,56,132,233,"PARTIAL"
"4","VESSEL TYPE",7810,162,173,59,180,"CP/MS"
"5","VESSEL TYPE",5175,136,157,177,361,"CV"
"6","VESSEL TYPE",1006,22,22,8,22,"PLANT"
"7","OBSERVER_ROLE",3501,72,74,46,78,"LEAD"
"8","OBSERVER_ROLE",3821,89,91,45,94,"SECOND"
"9","OBSERVER_ROLE",6679,159,182,200,401,"SOLE"
"10","NMFS_REGION",588,41,41,19,45,"AI"
"11","NMFS_REGION",11346,225,244,142,329,"BS"
"12","NMFS_REGION",1051,45,59,114,202,"GOA"
"13","NMFS_REGION",1006,22,22,8,22,"PLANT"
"14","GEAR_TYPE",1750,60,63,79,101,"HAL"
"15","GEAR_TYPE",4974,150,161,88,197,"NPT"
"16","GEAR_TYPE",1006,22,22,8,22,"PLANT"
"17","GEAR_TYPE",130,13,13,10,14,"POT"
"18","GEAR_TYPE",6131,163,175,119,269,"PTR"
"19","MANAGEMENT_PROGRAM",2462,66,66,15,66,"A80"
"20","MANAGEMENT_PROGRAM",5754,140,143,87,174,"AFA"
"21","MANAGEMENT_PROGRAM",1006,22,22,8,22,"AFA PLANT"
"22","MANAGEMENT_PROGRAM",8,1,1,1,1,"AIP"
"23","MANAGEMENT_PROGRAM",1240,72,73,30,74,"CDQ"
"24","MANAGEMENT_PROGRAM",1341,48,49,13,49,"EXP"
"25","MANAGEMENT_PROGRAM",326,27,27,54,58,"IFQ"
"26","MANAGEMENT_PROGRAM",3,1,1,1,1,"LE"
"27","MANAGEMENT_PROGRAM",2569,99,118,114,243,"OA"
"28","MANAGEMENT_PROGRAM",9,3,3,3,3,"SMO"
"29","MANAGEMENT_PROGRAM",18,4,5,5,6,"SMPC"
