"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_OBSERVERS","TOTAL_CRUISES","DISTINCT_OBSERVER_ASSIGNMENTS","OLE_CATEGORY","AFFIDAVIT_TYPE","TOTAL_STATEMENTS","TOTAL_INCIDENTS","CONFI_FLAG","AFFIS_PER_DAY","INCIDENTS_PER_DAY","STATEMENTS_PER_1000_DEPLOYED_DAYS","INCIDENTS_PER_1000_DEPLOYED_DAYS","STATEMENTS_PER_90_DEPLOYED_DAYS","INCIDENTS_PER_90_DEPLOYED_DAYS","STATEMENTS_PER_OBSERVER","INCIDENTS_PER_OBSERVER","STATEMENTS_PER_CRUISE","INCIDENTS_PER_CRUISE","STATEMENTS_PER_ASSIGNMENT","INCIDENTS_PER_ASSIGNMENT"
"1",2022,"FULL","CP/MS","HAL","CDQ","BSAI",548,24,24,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022,"FULL","CP/MS","HAL","IFQ","BSAI",1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022,"FULL","CP/MS","HAL","IFQ","GOA",35,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2022,"FULL","CP/MS","HAL","OA","BSAI",545,14,14,14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022,"FULL","CP/MS","HAL","OA","GOA",51,4,4,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022,"FULL","CP/MS","NPT","A80","BSAI",2488,65,67,72,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2022,"FULL","CP/MS","NPT","CDQ","BSAI",406,27,27,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022,"FULL","CP/MS","NPT","OA","BSAI",447,23,23,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022,"FULL","CP/MS","NPT","OA","GOA",56,5,5,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022,"FULL","CP/MS","NPT","RPP","GOA",14,2,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2022,"FULL","CP/MS","POT","CDQ","BSAI",91,4,4,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2022,"FULL","CP/MS","POT","IFQ","BSAI",128,6,6,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2022,"FULL","CP/MS","POT","IFQ","GOA",39,2,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
