"","CALENDAR_YEAR","CATEGORY","SUBCATEGORY","N_STATEMENTS","INCIDENT_UNIT","DISTINCT_REGS_SELECTED","N_REG_SELECTIONS","N_UNITS_REPORTED","TOTAL_UNITS","RATE","RATE_X_1000","OBSERVERS","UNITS_PER_OBSERVER","CRUISES","UNITS_PER_CRUISE","ASSIGNMENTS","UNITS_PER_ASSIGNMENT","DAYS","UNITS_PER_DAY","UNITS_PER_1000_DAYS"
"1",2023,"CONTRACTOR REQUIREMENTS","ADMINISTRATIVE RESPONSIBILITIES",1,"DEPL",1,1,1,543,0.00184162062615101,1.84162062615101,329,0.00303951367781155,543,0.00184162062615101,1157,0.000864304235090752,32767,3.05185094759972e-05,0.0305185094759972
"2",2023,"CONTRACTOR REQUIREMENTS","DEPLOYMENT LOGISTICS",5,"DAYS",2,5,244,32767,0.00744651631214331,7.44651631214331,329,0.741641337386018,543,0.449355432780847,1157,0.210890233362143,32767,0.00744651631214331,7.44651631214331
"3",2023,"CONTRACTOR REQUIREMENTS","DEPLOYMENT LOGISTICS",4,"DEPL",4,5,5,543,0.00920810313075507,9.20810313075506,329,0.0151975683890578,543,0.00920810313075507,1157,0.00432152117545376,32767,0.000152592547379986,0.152592547379986
"4",2023,"GEAR/EQUIPMENT REQUIREMENTS","BIN MONITORING",6,"HAUL",2,6,219,40324,0.00543100882848924,5.43100882848924,329,0.665653495440729,543,0.403314917127072,1157,0.189282627484875,32767,0.00668355357524339,6.68355357524339
"5",2023,"GEAR/EQUIPMENT REQUIREMENTS","OBSERVER SAMPLING STATION",2,"DAYS",2,3,127,32767,0.00387585070345164,3.87585070345164,329,0.386018237082067,543,0.233885819521179,1157,0.109766637856526,32767,0.00387585070345164,3.87585070345164
"6",2023,"GEAR/EQUIPMENT REQUIREMENTS","OBSERVER SAMPLING STATION",12,"TRIP",5,16,112,4329,0.0258720258720259,25.8720258720259,329,0.340425531914894,543,0.206261510128913,1157,0.0968020743301642,32767,0.00341807306131169,3.41807306131169
"7",2023,"GEAR/EQUIPMENT REQUIREMENTS","SCALES",16,"DAYS",6,18,174,32767,0.00531022064882351,5.31022064882351,329,0.52887537993921,543,0.320441988950276,1157,0.150388936905791,32767,0.00531022064882351,5.31022064882351
"8",2023,"GEAR/EQUIPMENT REQUIREMENTS","VIDEO MONITORING SYSTEM",6,"DAYS",3,6,127,32767,0.00387585070345164,3.87585070345164,329,0.386018237082067,543,0.233885819521179,1157,0.109766637856526,32767,0.00387585070345164,3.87585070345164
"9",2023,"GEAR/EQUIPMENT REQUIREMENTS","VIDEO MONITORING SYSTEM",3,"HAUL",2,3,3,40324,7.43973812121813e-05,0.0743973812121813,329,0.00911854103343465,543,0.00552486187845304,1157,0.00259291270527226,32767,9.15555284279916e-05,0.0915555284279916
"10",2023,"INTERFERENCE WITH DUTIES","ACCESS",1,"DAYS",1,1,6,32767,0.000183111056855983,0.183111056855983,329,0.0182370820668693,543,0.0110497237569061,1157,0.00518582541054451,32767,0.000183111056855983,0.183111056855983
